F,compression,distance (cm),dist error,num isochromes until distance,error
50N,0.08,0.1,0.05,0,0
50N,0.08,0.54,0.05,1,0
50N,0.08,0.82,0.05,2,0
50N,0.08,0.95,0.05,3,0
114N,0.17,0.05,0.05,0,0
114N,0.17,0.33,0.05,1,0
114N,0.17,0.53,0.05,2,0
114N,0.17,0.74,0.05,3,0
114N,0.17,0.88,0.05,4,0
160N,0.25,0.05,0.05,0,0
160N,0.25,0.26,0.05,1,0
160N,0.25,0.42,0.05,2,0
160N,0.25,0.58,0.05,3,0
160N,0.25,0.72,0.05,4,0
160N,0.25,0.84,0.05,5,0
160N,0.25,0.94,0.05,6,0
256N,0.33,0.05,0.05,0,0
256N,0.33,0.21,0.05,1,0
256N,0.33,0.32,0.05,2,0
256N,0.33,0.43,0.05,3,0
256N,0.33,0.54,0.05,4,0
256N,0.33,0.65,0.05,5,0
256N,0.33,0.74,0.05,6,0
256N,0.33,0.83,0.05,7,0
256N,0.33,0.91,0.05,8,0
